window,batch,lr,hidden,dropout,r2,rmse,accuracy
30,128,0.0005,128,0.5,-0.039281249046325684,0.011213707336659131,47.674418604651166
20,128,0.0005,128,0.5,-0.03966856002807617,0.011087308502841722,48.35164835164835
30,32,0.001,64,0.2,-0.0411374568939209,0.011223717790633933,49.41860465116279
30,128,0.0001,256,0.2,-0.042134761810302734,0.011229091927883851,45.93023255813954
20,64,0.0001,256,0.5,-0.04261422157287598,0.011103003889770644,43.40659340659341
20,128,0.0005,256,0.2,-0.04361116886138916,0.011108310667676334,41.75824175824176
40,32,0.001,256,0.3,-0.04374063014984131,0.011325492481067335,43.20987654320987
20,128,0.0001,64,0.5,-0.044709086418151855,0.01111415239797278,43.956043956043956
40,32,0.001,128,0.2,-0.044762492179870605,0.011331035388133492,42.592592592592595
30,64,0.0001,64,0.2,-0.046419739723205566,0.011252153623223536,41.27906976744186
30,32,0.0005,64,0.3,-0.046831488609313965,0.011254367459718225,44.76744186046512
40,32,0.0005,128,0.3,-0.04710280895233154,0.011343719276309113,43.82716049382716
40,128,0.001,64,0.3,-0.047777533531188965,0.011347373433208154,49.382716049382715
20,64,0.001,64,0.3,-0.0480341911315918,0.011131825868697556,43.40659340659341
20,64,0.0005,256,0.3,-0.04815053939819336,0.0111324435202203,47.8021978021978
40,64,0.0001,64,0.2,-0.04816925525665283,0.011349494330949447,43.82716049382716
20,128,0.001,128,0.3,-0.04839527606964111,0.011133743417659854,41.20879120879121
30,128,0.0005,256,0.2,-0.04950118064880371,0.011268708700675891,43.604651162790695
40,32,0.001,128,0.3,-0.050664424896240234,0.011362995182870834,49.382716049382715
20,32,0.001,128,0.5,-0.053325772285461426,0.01115989277575048,47.8021978021978
30,32,0.0005,64,0.2,-0.05341911315917969,0.011289723359014738,45.348837209302324
40,32,0.0001,64,0.5,-0.053728580474853516,0.011379552051130792,44.44444444444444
30,64,0.001,256,0.5,-0.05413496494293213,0.011293558629702254,43.02325581395349
30,128,0.0005,64,0.5,-0.05462169647216797,0.011296165638102668,44.18604651162791
40,32,0.0005,256,0.5,-0.0548253059387207,0.011385473168698583,41.97530864197531
20,64,0.001,128,0.3,-0.054975032806396484,0.011168626459069311,42.30769230769231
30,32,0.0005,256,0.2,-0.05542600154876709,0.011300471971585239,48.83720930232558
40,32,0.0005,64,0.5,-0.056798577308654785,0.011396116787687182,44.44444444444444
40,64,0.0005,256,0.2,-0.05784904956817627,0.011401779792230322,49.382716049382715
40,128,0.0005,64,0.5,-0.05804765224456787,0.011402849906595706,41.358024691358025
20,128,0.0001,64,0.3,-0.05810976028442383,0.011185206938769152,43.40659340659341
40,64,0.001,64,0.5,-0.058741092681884766,0.011406585904990458,43.20987654320987
30,32,0.001,128,0.5,-0.059926509857177734,0.011324539701393124,43.02325581395349
40,128,0.0005,64,0.2,-0.06164216995239258,0.011422203111966709,44.44444444444444
40,128,0.001,256,0.5,-0.06225788593292236,0.011425515038290812,43.20987654320987
40,32,0.0001,256,0.2,-0.06363177299499512,0.01143290099715243,39.50617283950617
